latitude,longitude
-37.0948,147.0118
-37.0965,147.0001
-37.0983,146.9885
-37.0556,147.2044
-37.0574,147.1933
-37.0734,147.0895
-37.0752,147.0781
-37.0857,147.0092
-37.0875,146.9976
-37.0643,147.0872
-36.9558,147.3189
-36.97,146.7984
-36.9268,146.7815
-36.9134,146.6841
-36.9151,146.6726
-36.6604,147.896
-36.6624,147.8838
-36.6493,147.9051
-36.6512,147.8934
-36.6531,147.8811
-36.4855,147.715
-36.2795,147.7267
-36.274,147.7011
-36.2647,147.6988
-36.2506,147.6889
-36.2414,147.6863
-36.0733,147.5829
-37.5222,149.375
-37.5265,149.3721
-37.6495,147.5678
-37.5834,147.5404
-37.5914,147.5381
-37.578,147.533
-37.2583,147.9844
-37.2661,147.9507
-37.0758,147.0701
-38.0957,141.8685
-38.098,141.8551
-38.1003,141.8417
-38.0907,141.839
-38.093,141.8256
-38.0786,141.8497
-38.081,141.8363
-38.0447,141.8616
-38.047,141.8483
-38.0493,141.8349
-38.0516,141.8215
-38.0396,141.8322
-38.0419,141.8188
-36.9234,146.7857
-36.9284,146.7629
-36.9338,146.7386
-36.9103,146.7813
-36.9159,146.7565
-36.9334,146.7588
-36.9155,146.7766
-36.9207,146.753
-36.0715,147.5845
-36.3007,147.7616
-36.3023,147.7727
-36.3146,147.793
-36.3588,147.8406
-36.3678,147.8386
-36.3694,147.8497
-36.3833,147.8811
-36.4153,147.7294
-36.4169,147.7405
-36.4863,148.024
-36.5048,148.0256
-36.5081,148.048
-36.5097,148.0591
-36.4878,147.719
-36.5565,147.9337
-36.5581,147.9448
-36.5655,147.9317
-36.5671,147.9428
-36.5687,147.954
-36.5878,147.8396
-36.5894,147.8507
-36.6098,147.9268
-36.6335,147.8985
-36.6352,147.9096
-36.6425,147.8965
-36.6499,147.8833
-36.6515,147.8945
-36.6532,147.9057
-36.6605,147.8925
-36.9766,147.3516
-36.9782,147.3628
-36.9087,146.7838
-36.916,146.7704
-36.9177,146.7817
-36.923,146.816
-36.9092,146.666
-36.925,146.7681
-37.1227,148.0958
-36.9323,146.7544
-37.0455,147.2012
-37.0545,147.1991
-37.068,147.2889
-37.0717,147.0668
-37.0734,147.078
-37.363,149.1032
-37.3646,149.1153
-37.0825,147.0761
-37.0859,147.0986
-37.0876,147.11
-37.3787,149.1496
-37.3803,149.1615
-37.4231,149.4844
-37.4247,149.4965
-37.4596,149.7652
-37.3656,148.9821
-37.3895,149.1595
-37.3911,149.1714
-37.4324,149.4824
-37.434,149.4946
-37.4468,149.5917
-37.0906,147.01
-37.4377,149.4757
-37.4393,149.4878
-37.4408,149.4999
-37.4424,149.512
-37.4439,149.5242
-37.0979,146.9966
-37.3999,149.0423
-37.2609,147.9713
-37.2626,147.9827
-37.2642,147.994
-37.3807,148.8291
-37.2699,147.9693
-37.2716,147.9807
-37.4293,149.1207
-37.2725,147.9223
-37.4796,149.4301
-37.4873,149.4161
-37.4634,149.1632
-37.495,149.4021
-37.5027,149.3881
-37.5043,149.4003
-37.4977,149.2785
-37.5025,149.3143
-37.5104,149.3739
-37.512,149.3862
-37.5136,149.3985
-37.3618,148.2352
-37.5037,149.2828
-37.5162,149.3783
-37.5178,149.3907
-37.5193,149.4029
-37.513,149.2809
-37.5255,149.3768
-37.5271,149.3889
-37.5286,149.4011
-37.5207,149.2669
-37.5223,149.279
-37.5347,149.301
-37.5363,149.313
-37.5425,149.3609
-37.5517,149.2853
